product,category,sub_category,brand,sale_price,rating
Hair Spa Oil Therapy,Beauty & Hygiene,Hair Care,Prakrta,370.5,5.0
"Sauce - Bhut Jolokia, Sweet Chilli",Snacks & Branded Foods,"Spreads, Sauces, Ketchup",ENE,168.75,5.0
Organic Coriander Powder,"Foodgrains, Oil & Masala",Organic Staples,24 Mantra,48.0,4.1
Stainless Steel Induction Base Tope,"Kitchen, Garden & Pets",Steel Utensils,Vinod,399.0,4.1
Andhra Special Allam/Ginger Pickle,Snacks & Branded Foods,Pickles & Chutney,Delight Foods,210.0,2.0
New Dry Diapers - Medium,Baby Care,Diapers & Wipes,Huggies,388.88,3.8
Fruit N Fibre Muesli - Mixed Fruit,Snacks & Branded Foods,Breakfast Cereals,Bagrrys,320.0,4.3
Baby Corn - Sweet & Sour,Gourmet & World Food,Tinned & Processed Food,Hugo Reitzel ,607.75,5.0
Kool - Badam,"Bakery, Cakes & Dairy",Dairy,Amul,20.0,4.2
Creamy Crackers - Original,Gourmet & World Food,Chocolates & Biscuits,Sapphire,180.0,4.3
Milly Magic Chocolate Balls - Gluten Free,Snacks & Branded Foods,Breakfast Cereals,Schar,485.0,4.0
Millet Based Nutrition Bar - Classic,Gourmet & World Food,Cereals & Breakfast,Ah!rogya Bar,20.0,4.0
"Bathroom Cleaner - Liquid, Hand Made",Cleaning & Household,All Purpose Cleaners,Wild Ideas,120.0,3.5
Kodo Millet Rice - Pesticide Free,"Foodgrains, Oil & Masala",Dals & Pulses,Safe Harvest,84.15,4.1
Wipeout Germ Killing Soap,Beauty & Hygiene,Bath & Hand Wash,MyGlamm,55.2,4.0
Jelly Crystal - Raspberry,Gourmet & World Food,Cooking & Baking Needs,Puramate,40.5,4.4
Black Tea,Beverages,Tea,Tetley,155.0,4.3
"Kitchen Cleaning/Dusting Microfibre Cloth - Grey, G130060GR",Cleaning & Household,"Mops, Brushes & Scrubs",Liao,239.2,4.3
"Peri Peri Sauce - Bird Eye Chili, Hot & Tangy",Gourmet & World Food,"Sauces, Spreads & Dips",Habanero,161.1,4.1
Wonderz Milk Fruit N Milk - Mango,"Bakery, Cakes & Dairy",Dairy,Sunfeast,29.75,4.1
Cow Ghee/Tuppa,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Himalayan Natives,432.0,3.4
"Organic - Black Cardamom Ealachi, Whole","Foodgrains, Oil & Masala",Organic Staples,bb Royal,44.0,4.0
Ultimate Choco Berry,Snacks & Branded Foods,Chocolates & Candies,RiteBite Max Protein,950.0,4.9
Steel Belly Shape Storage Dabba/ Container Set With PP Lid - Silver & Blue,"Kitchen, Garden & Pets",Steel Utensils,Jensons,219.0,3.8
Kool - Koko,"Bakery, Cakes & Dairy",Dairy,Amul,111.0,4.3
"Apple Cider Vinegar - With Mother, Unfiltered & Unpasteurized",Gourmet & World Food,Oils & Vinegar,TrueNature,500.0,5.0
Dare Deodorant Spray - Men,Beauty & Hygiene,Fragrances & Deos,Kamasutra,210.0,3.9
Svachh DLX Alpha Steel Outer Lid Pressure Cooker (20247),"Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,2060.0,3.3
Hydrating Body Lotion,Beauty & Hygiene,Skin Care,Nutrinorm,349.0,4.0
Nuts & Seeds Bar,Snacks & Branded Foods,Breakfast Cereals,RiteBite Max Protein,36.0,3.8
"Nacho Chips - Cheese With Herbs, No Onion, No Garlic",Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Makino,46.9,4.2
7 O Click - Permasharp Stainless Blade,Beauty & Hygiene,Men's Grooming,Gillette,21.56,4.1
Classic Sandalwood & Tulsi Hand Wash,Beauty & Hygiene,Bath & Hand Wash,Santoor,209.0,3.8
Brass Karpoor Arti - No.2,Cleaning & Household,Pooja Needs,Trm,109.0,3.8
Nikhaar Hair Removal Cream For All Skin Types,Beauty & Hygiene,Feminine Hygiene,Veet,82.0,4.1
Original Care Lip Balm For 24h Moisture With Shea Butter & Natural Oils,Beauty & Hygiene,Skin Care,Nivea,114.8,4.3
"Plastic Insulated Jr Casserole For Roti/Chapati Gift Set - White, Regalia","Kitchen, Garden & Pets",Flask & Casserole,Milton,739.0,3.5
Vastu Combo Pack - Floor Cleaner + toilet cleaner,Cleaning & Household,All Purpose Cleaners,Runaway,319.0,3.6
"Water Flask - Insulated Thermosteel, Flip Lid , Silver","Kitchen, Garden & Pets",Flask & Casserole,Milton,879.0,4.2
"Ultra Healing - Extra Dry Skin Moisturiser With Vitamin C, E & B5",Beauty & Hygiene,Skin Care,Jergens,296.1,2.0
"Organic, Fennel /Saunf/Sompu Powder","Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,23.0,4.1
Coconut Braker - Big,"Kitchen, Garden & Pets",Kitchen Accessories,Kvg,129.0,3.0
Truffel - Caramel,Snacks & Branded Foods,Chocolates & Candies,Dukes,190.0,3.7
Mischief Avatar Deodorant & Body Spray Perfume For Men,Beauty & Hygiene,Fragrances & Deos,Set Wet,121.0,3.8
Skin Fruits Fruit Moisturising Body Lotion,Beauty & Hygiene,Skin Care,Joy,68.85,4.1
Basmati Rice/Basmati Akki - Rozana Super 90,"Foodgrains, Oil & Masala",Rice & Rice Products,Daawat ,340.0,3.9
Milk power Frappe Milkshake - Belgian Chocolate,"Bakery, Cakes & Dairy",Dairy,Real,27.0,4.2
"Peanut Butter - Unsweetened, Crunchy",Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Happy Jars,275.0,3.8
Salem Turmeric Powder/Arisina Pudi,"Foodgrains, Oil & Masala",Masalas & Spices,Orika,24.75,4.4
Body Fragrance - Alexander,Beauty & Hygiene,Fragrances & Deos,Park avenue,149.25,4.3
"Steel Storage/Lunch Container- No.1, Blue, Klip It","Kitchen, Garden & Pets",Steel Utensils,Joyo Steel,79.0,3.1
Aloe Vera Juice - Purifies Blood & Boosts Immunity,Gourmet & World Food,Drinks & Beverages,Jiva Ayurveda,220.0,1.0
"Balloon - Polka Dot, 12 Inch",Cleaning & Household,Party & Festive Needs,B Vishal,99.0,3.9
School/Stationery Kit,Cleaning & Household,Stationery,BIC Cello,49.0,4.1
Face Wash - White Tea & Chamomile,Beauty & Hygiene,Skin Care,Aroma Magic ,129.5,4.2
Bathroom Cleaner,Cleaning & Household,All Purpose Cleaners,PureCult,209.3,4.0
Imperial Desert Set - Aqua Leaves,"Kitchen, Garden & Pets",Crockery & Cutlery,Cello,419.0,2.8
Solitaire Storage Transparent Pet Container Set - Green Lid,"Kitchen, Garden & Pets",Storage & Accessories,Steelo,409.0,4.2
Organic Cold Pressed Virgin Coconut Oil,Gourmet & World Food,Oils & Vinegar,GoodDiet,239.0,4.4
Hand Wash Rose & Geranium - Anti Bacterial,Beauty & Hygiene,Bath & Hand Wash,Morpheme Remedies,349.0,5.0
Namkeen - Flattend Rice Mixture,Snacks & Branded Foods,Snacks & Namkeen,Sln  ,38.0,4.0
Black Naturals,Beauty & Hygiene,Hair Care,Garnier,37.0,4.2
Sorghum Rava/ Semolina,Gourmet & World Food,Cooking & Baking Needs,Dhatu Organics & Naturals,80.0,4.4
Sensitive Toothpaste - Fresh Mint,Beauty & Hygiene,Oral Care,Sensodyne,215.6,4.3
Floor Cleaner - Lime,Cleaning & Household,All Purpose Cleaners,Floroma,70.0,3.8
Hair Serum - Anti-Dandruff,Beauty & Hygiene,Hair Care,Aroma Magic ,637.5,1.0
"Face Mask 3-Layer Surgical - Disposable, Anti-Dust & Anti-Pollution, With Earloop",Beauty & Hygiene,Health & Medicine,Octus,79.0,3.5
Organic - Kalonji,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,47.5,4.2
Red Poha,"Foodgrains, Oil & Masala",Organic Staples,Turn Organic ,80.0,4.0
Brightening Serum,Beauty & Hygiene,Skin Care,Kaya Clinic,942.0,4.0
Sheer Perfume For Women - EDP,Beauty & Hygiene,Fragrances & Deos,Skinn by Titan,1435.5,4.4
Baking Powder - Double Acting,Gourmet & World Food,Cooking & Baking Needs,By Nature,145.0,5.0
"Ready Mix - Kheer, Vermicelli",Snacks & Branded Foods,Ready To Cook & Eat,Gits,53.0,4.3
Scrubbing Broom Brush - Outdoor,Cleaning & Household,"Mops, Brushes & Scrubs",Ezy Be,256.5,4.5
Organic Wheat Dalia,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,52.25,4.1
The Original Kashaya - Caffeine Free,Gourmet & World Food,Drinks & Beverages,6 Rasa,279.0,4.8
Elegance Deodorizing Talc - For Men,Beauty & Hygiene,Men's Grooming,Yardley London,157.25,4.4
Organic Rasam Ready Mix - Long Pepper,Snacks & Branded Foods,Ready To Cook & Eat,Aaha Oho,85.0,4.2
Gold Caramel Candy,Snacks & Branded Foods,Chocolates & Candies,ALPENLIEBE,50.0,4.3
Masala - Birayani Pulao,"Foodgrains, Oil & Masala",Masalas & Spices,Mdh,80.0,4.2
Hair Fall Control Oil,Beauty & Hygiene,Hair Care,Dr Batra's ,145.0,4.0
Bio Renew White Strawberry & Sweet Mint Conditioner,Beauty & Hygiene,Hair Care,Herbal Essence,468.0,4.4
"Comfort Bathroom Stool Plastic/Patla - Plain, Big, Assorted",Cleaning & Household,Bins & Bathroom Ware,JOYO,259.0,3.4
Bounce Biscuits - Elaichi Creme,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,27.0,4.1
"Pumice Stone & Emery Foot Filer - FFL3407, Colour May Vary",Beauty & Hygiene,Bath & Hand Wash,Kaiv,175.0,3.8
Light Soy Sauce - Reduced Salt,Gourmet & World Food,"Sauces, Spreads & Dips",Tai Hua,346.5,3.9
"Kitchen Cleaning/Dusting Microfibre Cloth - Red & Grey, G130064RG",Cleaning & Household,"Mops, Brushes & Scrubs",Liao,219.0,4.0
Painting Kit,Cleaning & Household,Stationery,Doms,196.0,4.7
Diamond Skin Brightening Kit - Consumer Pack,Beauty & Hygiene,Skin Care,Joy,150.0,4.0
Organic - Turmeric Powder/Arisina Pudi,"Foodgrains, Oil & Masala",Organic Staples,Turn Organic ,32.0,4.7
Natural Neem Agarbatti,Cleaning & Household,Fresheners & Repellents,Good knight,180.0,3.0
Raspberry Strawberry Preserve,Gourmet & World Food,"Sauces, Spreads & Dips",The Gourmet Jar,349.0,3.5
Hajmola Maha Candy - Aam+Imli,Beauty & Hygiene,Health & Medicine,Dabur,117.0,4.4
Rice Bran Oil,"Foodgrains, Oil & Masala",Edible Oils & Ghee,Fortune ,173.0,4.1
"N95 Washable Face Mask - Blue, Medium",Beauty & Hygiene,Health & Medicine,Nirvana,299.0,3.8
Coriander Powder,"Foodgrains, Oil & Masala",Masalas & Spices,Patanjali,24.0,4.2
Dressing - Creamy Caesar,Gourmet & World Food,"Sauces, Spreads & Dips",American Garden ,270.0,3.9
Chocolate Flavoured Lubes,Beauty & Hygiene,Health & Medicine,Skore,300.0,2.3
Whiteglow Skin Whitening & Brightening Gel Creme PA+++ - SPF 25,Beauty & Hygiene,Skin Care,Lotus Herbals,292.5,4.3
Active Baby Medium (6-11 kg) - 62 Diapers,Baby Care,Diapers & Wipes,Pampers ,1077.02,4.4
Nutrition & Health Drink - Pista Badam,Beverages,"Health Drink, Supplement",Complan,315.0,4.4
Chocolate Biscuits - Cream 4 Fun,Snacks & Branded Foods,Biscuits & Cookies,Dukes,25.0,4.0
Oat Krunch - Dark Chocolate,Gourmet & World Food,Chocolates & Biscuits,Munchys,125.0,5.0
Soft & Fresh Soap Bar,Beauty & Hygiene,Bath & Hand Wash,Pears,72.0,4.4
Oxygen Moisture Shampoo,Beauty & Hygiene,Hair Care,Dove,466.2,4.2
"Almond Milk - Unsweetened, Lactose-Free, Plant-Based Milk Alternative",Gourmet & World Food,Dairy & Cheese,Urban Platter,237.5,4.2
"Table Ring - Trivet Round, Dia-13 cm","Kitchen, Garden & Pets",Kitchen Accessories,Kvg,45.0,3.7
Non Scratch Sponge,Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,57.0,4.3
Premium Care XXXL - 23 Diaper Pants,Baby Care,Diapers & Wipes,Pampers ,850.26,3.8
Shikakai - Amla and Bhringraj,Beauty & Hygiene,Bath & Hand Wash,Godrej,20.9,4.2
Amritsari Chhole Masala,"Foodgrains, Oil & Masala",Masalas & Spices,Keya,40.95,4.1
Meswak Toothpaste,Beauty & Hygiene,Oral Care,Dabur,426.3,4.3
Tofu Supreme - Regular,"Bakery, Cakes & Dairy",Non Dairy,Soyfit,108.0,2.8
Honey Sunflower,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Tong Garden,110.5,4.7
Premium Raw Organic Authentic Flaxseeds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Happilo,59.4,4.5
Ultra Protect Spray,Beauty & Hygiene,Bath & Hand Wash,Dr Rhazes,340.0,3.5
Chia Mango Mint Jam,Gourmet & World Food,"Sauces, Spreads & Dips",Prasukh,126.0,3.5
Asafoetida - Powder,"Foodgrains, Oil & Masala",Masalas & Spices,Double Horse,90.25,4.3
"Pure Maple Syrup - Product Of Canada, Grade A, Robust Taste",Gourmet & World Food,"Sauces, Spreads & Dips",Urban Platter,900.0,4.7
Tagara (Valerian) - Tablets,Beauty & Hygiene,Health & Medicine,Himalaya Wellness,145.2,4.8
Masala - Pav Bhaji,"Foodgrains, Oil & Masala",Masalas & Spices,Eastern,66.0,4.1
Greek Yogurt Smoothie - Strawberry,Gourmet & World Food,Drinks & Beverages,Epigamia ,49.0,4.0
Marvel Spiderman Metal Kids Pencil Box,Cleaning & Household,Stationery,Hm International,149.0,3.0
Jeera Nibbles,Snacks & Branded Foods,Biscuits & Cookies,Dukes,39.0,4.1
Pure Aloe Vera Gel,Beauty & Hygiene,Skin Care,Jeva,107.0,3.7
Brazil - Single Origin Dark Chocolate,Gourmet & World Food,Chocolates & Biscuits,Toska Chocolates,320.0,5.0
Sesame Chikki,Snacks & Branded Foods,Indian Mithai,Paper Boat,300.0,4.0
Jerk Sauce,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Bechef,160.0,5.0
Organic Elicoidali Pasta,Gourmet & World Food,"Pasta, Soup & Noodles",Anmara,396.0,5.0
Elegant Fruit Center Filled Choco Assortment,Gourmet & World Food,Chocolates & Biscuits,KOKOLEKA,267.75,5.0
"Basting Brush Kitchen Oil Cooking Tool - Silicon Plastic, Pink/Peach Assorted, BB1166","Kitchen, Garden & Pets",Bakeware,Casasunco,139.0,4.4
Baby Powder With Fragrance,Baby Care,Baby Bath & Hygiene,Pigeon,99.0,3.8
Supple Bounce Body Lotion,Beauty & Hygiene,Skin Care,Dove,105.6,4.5
Glass Serving Mixing Bowl,"Kitchen, Garden & Pets",Crockery & Cutlery,Gupta Glass Ideas,169.0,2.8
Tawa Pav Bhaji Masala,"Foodgrains, Oil & Masala",Masalas & Spices,Keya,39.6,4.0
"Bathing Bar Soap - Germ Protection, Original",Beauty & Hygiene,Bath & Hand Wash,Dettol,335.81,4.3
Nylon Rope,Cleaning & Household,Bins & Bathroom Ware,SSS,80.0,4.2
Crunchy & Creame Wafer Biscuit - Vanilla,Gourmet & World Food,Chocolates & Biscuits,Harveys,89.1,3.3
Fevicryl - Pearl Kit,Cleaning & Household,Stationery,Pidilite,108.0,4.2
"Deluxe Granite Non-Stick Omni Tawa, 250 mm (36301)","Kitchen, Garden & Pets",Cookware & Non Stick,Prestige,870.0,3.5
For Man Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,Jacques Bogart,2415.0,2.0
Juice/Milk Mugs,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,229.0,3.0
Shaving Foam,Beauty & Hygiene,Men's Grooming,Red Hunt,68.0,2.5
Mix - Rava Dosai,Snacks & Branded Foods,Ready To Cook & Eat,Gits,60.0,4.3
"Green Tea - Mint, Good morning",Beverages,Tea,Wagh Bakri,75.0,4.5
Bathing Soap - Cucumber & Coconut,Beauty & Hygiene,Bath & Hand Wash,Himalaya,99.36,4.2
Shot Body Spray - Royal Jade,Beauty & Hygiene,Fragrances & Deos,Layerr,165.75,4.5
Madrid - Dessert Spoons,"Kitchen, Garden & Pets",Crockery & Cutlery,FNS,359.0,5.0
"Shot Body Spray - Gold, Passion",Beauty & Hygiene,Fragrances & Deos,Layerr,175.5,4.3
Toilex With Roundy Cont.- Vf,Cleaning & Household,"Mops, Brushes & Scrubs",Gala,220.0,2.0
"Toilet Roll - 4 Rolls, 3 ply",Cleaning & Household,"Disposables, Garbage Bag",Paseo,325.0,4.1
Twin Bucket Spin Mop - Green - 2 Refills,Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,1150.0,2.8
Expanding Folder,Cleaning & Household,Stationery,B Vishal,224.0,3.6
Mouthwash Liquid - Cool Mint With Mild Taste,Beauty & Hygiene,Oral Care,Listerine,220.5,4.3
Quick Chai Masala,Beverages,Tea,Tata Tea,109.2,3.5
Intimate Lightening Serum,Beauty & Hygiene,Skin Care,Namyaa,750.0,4.0
X-Tenso Care Straight Masque,Beauty & Hygiene,Hair Care,LOreal Professionnel,685.0,4.0
Monosodium Glutamate,Gourmet & World Food,Cooking & Baking Needs,Puramate,31.5,4.5
"Puppy Dog Treat - Chicken & Liver Chunks, (Rs 25 Off ) Value Saver Pack","Kitchen, Garden & Pets",Pet Food & Accessories,Pedigree,465.0,4.5
Masala - Vegetable,"Foodgrains, Oil & Masala",Masalas & Spices,Eastern,43.7,4.1
Soya Milk - Vanilla,"Bakery, Cakes & Dairy",Non Dairy,Sofit ,77.17,4.2
Max Fresh New Super Plastic Lunch Box/Tiffin Box - Blue,"Kitchen, Garden & Pets",Storage & Accessories,Cello,469.0,4.5
Fruit Yoghurt - Mango,"Bakery, Cakes & Dairy",Dairy,Milky Mist,79.0,4.0
Chipotle Pepper Sauce,Gourmet & World Food,Cooking & Baking Needs,Tabasco,749.0,4.8
Dairy Milk Black Forest - Imported,Gourmet & World Food,Chocolates & Biscuits,Cadbury,350.0,5.0
Organic Brown Sugar/Sakkare,"Foodgrains, Oil & Masala",Organic Staples,MeraKisan,77.0,4.1
Ready to Eat - Chicken Darbari,Snacks & Branded Foods,Ready To Cook & Eat,Kitchens Of India,190.0,3.9
Nuts Hazelnuts regular,Gourmet & World Food,Chocolates & Biscuits,Sapphire,400.0,3.0
Roasted Sunflower Pumpkin & Flax Seeds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",True Elements,500.0,4.2
Organic Paneer,"Bakery, Cakes & Dairy",Dairy,Farm Connect,115.0,3.1
"Multipurpose Plastic Basket - Laundry/Clothes, Blue, Oval",Cleaning & Household,Bins & Bathroom Ware,Ratan,149.0,3.6
Pre Shave Foam - Classic Sensitive Skin,Beauty & Hygiene,Men's Grooming,Gillette,180.0,4.3
Tomato Ketchup,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Madhur,110.0,4.0
Premium Flat Square Plastic Container Set - Blue,"Kitchen, Garden & Pets",Storage & Accessories,Mastercook,69.0,4.1
Touch 'N' Fresh - Wild Lavender,Cleaning & Household,Fresheners & Repellents,Glade,120.0,4.0
Crushed Chikki Peanut Bar,Snacks & Branded Foods,Indian Mithai,Paper Boat,300.0,4.1
Pore Shrinking Face Pack,Beauty & Hygiene,Skin Care,TJORI,299.4,5.0
Wafers - Vanilla & Hazelnut,Gourmet & World Food,Chocolates & Biscuits,Harveys,67.5,2.8
Hair Spa Detoxifying Shampoo,Beauty & Hygiene,Hair Care,LOreal Professionnel,399.0,3.6
Nilgiris Green Tea - Zoho Lemongrass,Beverages,Tea,Teamonk,200.0,5.0
Cloth Clip,Cleaning & Household,Bins & Bathroom Ware,Reliance,240.0,2.8
Original Soap,Beauty & Hygiene,Bath & Hand Wash,Tabac,517.5,4.0
Gulabari Moisturising Cold Cream,Beauty & Hygiene,Skin Care,Dabur,76.8,4.2
All Time Plastic Soup Strainer - Assorted Colour,"Kitchen, Garden & Pets",Kitchen Accessories,All Time,48.0,3.7
"Baby Food with Sprouted Grains - Ragi Rich, 6+ Months, Rich in Vitamins & Minerals, No Milk",Baby Care,Baby Food & Formula,Manna ,99.0,4.1
Organic Kala Chana,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,64.0,4.0
5 Star Oreo Chocolate Bar,Snacks & Branded Foods,Chocolates & Candies,Cadbury,35.0,4.4
Pad Thai Noodles,Gourmet & World Food,"Pasta, Soup & Noodles",Real Thai,210.0,4.3
Xanthan Gum,Gourmet & World Food,Cooking & Baking Needs,Purix,90.25,4.0
Mint Seasoning,"Foodgrains, Oil & Masala",Masalas & Spices,Orika,59.25,3.1
Nomarks - Antimarks Soap For Normal Skin,Beauty & Hygiene,Health & Medicine,Bajaj,35.0,4.4
Glass Cleaner,Cleaning & Household,All Purpose Cleaners,Excel Plus,129.0,3.8
Aika Snack Bowl Set,"Kitchen, Garden & Pets",Crockery & Cutlery,Craftel,159.0,3.9
Hyderabadi Dum Biryani Masala,Gourmet & World Food,Cooking & Baking Needs,As Chefs Cook,139.5,3.9
"Cat Treats - Salmon Rings, Purr-Fect","Kitchen, Garden & Pets",Pet Food & Accessories,Kittos,99.0,3.3
Breakfast Protein Variety Bar - Almond Coconut,Gourmet & World Food,Cereals & Breakfast,Yoga bar,290.0,3.8
Tahini,"Foodgrains, Oil & Masala",Masalas & Spices,Bechef,260.0,3.3
Atta Noodles - Masala,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Top Ramen ,80.0,4.1
Original Deodorant For Women,Beauty & Hygiene,Fragrances & Deos,Dove,143.0,4.2
Noodles - Medium Egg,Snacks & Branded Foods,"Noodle, Pasta, Vermicelli",Blue Dragon,275.0,4.0
"Super Tight Plastic Container - Printed, Assorted Colour","Kitchen, Garden & Pets",Storage & Accessories,JOYO,209.0,3.6
Under Eye Gel,Beauty & Hygiene,Skin Care,Organic Harvest,505.75,2.0
Dates Pickle,Snacks & Branded Foods,Pickles & Chutney,Double Horse,150.0,4.3
Instant Noodles - Pepper Crab Flavor,Gourmet & World Food,"Pasta, Soup & Noodles",Koka,45.0,4.2
"Confeito Rainbow Vermicelli, Sprinkles",Gourmet & World Food,Cooking & Baking Needs,Wow Confetti,128.25,3.0
Honey - Weight Watchers,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Future Organics,550.0,5.0
Adhesive - All Fix Clear & Non Staining All Purpose,Cleaning & Household,Stationery,Pidilite,66.5,4.3
"Disposable Bamboo Wood Skewers/Pickers - For Use With Barbecue, 8 Inch","Kitchen, Garden & Pets",Kitchen Accessories,Bamboooz,99.0,3.7
Gulab Jamun - Gol M Gol,Snacks & Branded Foods,Ready To Cook & Eat,Bikaji,230.0,3.6
Aloe Vera Kanti - Body Cleanser Soap,Beauty & Hygiene,Bath & Hand Wash,Patanjali,15.0,4.2
Refillable Gas Lighter With Flame (27.5cm),"Kitchen, Garden & Pets",Kitchen Accessories,Fackelmann,185.0,3.2
"Garbage Bags - Compostable, 100% Corn Starch, Large, Green, Mono-Carton(24x32 Inches)",Cleaning & Household,"Disposables, Garbage Bag",BB Home,450.0,4.0
"Focus - Super Dog Food, For Adults","Kitchen, Garden & Pets",Pet Food & Accessories,Drools,3612.5,3.3
Room Air Freshener Spray - Rose Garden,Cleaning & Household,Fresheners & Repellents,Odonil ,119.2,4.0
Toilet Cleaner Clinging Bleach Gel,Cleaning & Household,All Purpose Cleaners,Clorox,225.0,3.5
Organic - Sambar Powder,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,57.0,4.0
Choco Delite Bar,Snacks & Branded Foods,Breakfast Cereals,RiteBite Max Protein,420.0,4.0
Pain Relief Cream,Beauty & Hygiene,Health & Medicine,Moov,112.5,4.3
Luna Water/Juice/Whisky Tumbler,"Kitchen, Garden & Pets",Crockery & Cutlery,Pasabahce,499.0,3.5
Silicone Pacifier Step 2 - Purple Flower,Baby Care,Baby Accessories,Pigeon Baby,249.0,3.0
"Cerelac Baby Cereal with Milk - Wheat Apple, From 6-12 Months, Rich in Iron",Baby Care,Baby Food & Formula,Nestle ,199.0,4.4
Rockers - Chocolate laddu,Snacks & Branded Foods,Indian Mithai,MISHT,299.0,4.2
Immuniveda Golden Turmeric Milk Mix - Immunity Booster,Gourmet & World Food,Drinks & Beverages,Saffola,798.0,3.7
"Air Freshener - Lavender Flavoured, Paper, BB1100",Cleaning & Household,Fresheners & Repellents,Kuxuna,58.0,4.3
Channa Masala,"Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,21.0,4.1
Red Pasta Sauce,Snacks & Branded Foods,Ready To Cook & Eat,Weikfield,40.0,4.0
100% Pure Honey - Worlds No.1 Honey Brand With No Sugar Adulteration,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Dabur,138.0,4.2
Disney Cinderella Princess PVC Embossed Pencil Bag - HMHTPB 72231-CIN,Cleaning & Household,Stationery,Hm International,160.0,1.0
Exfoliating Walnut Scrub,Beauty & Hygiene,Skin Care,Everyuth Naturals,161.25,4.3
"Accurate Seal Plastic Tea, Coffee, Sugar Storage Container/Canister - Blue","Kitchen, Garden & Pets",Storage & Accessories,Asian,129.0,4.0
Premium Raw Organic Holy Basil Seeds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Happilo,99.0,3.9
"Namkeen - Murku, Ribbon",Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,55.0,4.2
Organic - Green Peas/Ona Batani,"Foodgrains, Oil & Masala",Organic Staples,bb Royal,135.0,3.9
Chewy Mints - Lemon,Snacks & Branded Foods,Chocolates & Candies,Doublemint,50.0,4.1
Plain Container Jumbo Combo Set - Blue,"Kitchen, Garden & Pets",Storage & Accessories,Suvidha,469.0,1.0
Nacho Crisps - Cheese & Herbs,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Cornitos,13.4,4.2
Disney Frozen 304 Stainless Steel Lunch Box/Tiffin Box - HMWWLB 85274-FZ,"Kitchen, Garden & Pets",Storage & Accessories,Hm International,599.0,1.0
Jack Fruit Chips,Snacks & Branded Foods,Snacks & Namkeen,A-1 Chips,120.0,3.9
"Deccan Gold - Premium Filter Coffee, 80:20 Blend",Beverages,Coffee,PRISTINE,100.0,4.3
Multigrain Chips - Dahi Papdi Chaat,Snacks & Branded Foods,Snacks & Namkeen,Too Yumm!,29.75,4.1
"Eau De Parfum - Hydra Energy, For Men",Beauty & Hygiene,Fragrances & Deos,Wild Stone,299.25,4.0
Safe Sun Sun Block Cream PA+ - SPF 20,Beauty & Hygiene,Skin Care,Lotus Herbals,142.5,4.0
Pickle - Avakkai,Snacks & Branded Foods,Pickles & Chutney,Mambalam Iyers,57.0,4.1
French Lavender Oil & Rose Water Face Wash,Beauty & Hygiene,Skin Care,ST. D'VENCE,310.0,3.1
Green Moong//Hesaru Kaalu - Split,"Foodgrains, Oil & Masala",Dals & Pulses,Super Saver,130.0,4.2
Bio Papaya Scrub Wash,Beauty & Hygiene,Skin Care,BIOTIQUE,202.5,4.1
"Organic Red Gram/Tur Dal - Split, Skinned","Foodgrains, Oil & Masala",Dals & Pulses,Earthon,135.0,4.0
"Clothes Storage Laundry Bag - Text Printed, Blue, BB-549",Cleaning & Household,Bins & Bathroom Ware,DP,519.0,4.0
