product,category,sub_category,brand,sale_price,rating
"Peanut Butter - Creamy, Super",Gourmet & World Food,"Sauces, Spreads & Dips",Happilo,209.4,4.3
Sugar Free Petit Beurre - The Taste of France,Snacks & Branded Foods,Biscuits & Cookies,Bisk Farm,35.0,4.0
Aqua Halo Rejuvenating Conditioner,Beauty & Hygiene,Hair Care,Azafran,168.75,1.0
Dog Supplement - Absolute Calcium Tablet,"Kitchen, Garden & Pets",Pet Food & Accessories,Drools,339.15,3.9
Battery Power Kids Toothbrush - Barbie,Beauty & Hygiene,Oral Care,Colgate,374.25,4.0
"Kids Motu Patlu Toothpaste - 2-5 Years, Bubble Fruit Flavour",Beauty & Hygiene,Oral Care,Colgate,43.0,4.0
Pure & Gentle Face Wash,Beauty & Hygiene,Skin Care,Pears,120.0,4.3
Sesame Seed Oil,Beauty & Hygiene,Skin Care,INATUR ,210.0,3.5
Til Dil Seeds,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Mantra,70.0,3.6
Acne Pimple Kit For Acne & Pimple Removal,Beauty & Hygiene,Skin Care,Natures Essence,500.0,3.0
"Disposable Bamboo Wood Skewer/Picker Sticks- For Barbeque, 12 Inch","Kitchen, Garden & Pets",Kitchen Accessories,Bamboooz,135.0,4.3
& Moms Bathing Soap - Jasmine,Beauty & Hygiene,Bath & Hand Wash,Dettol,108.0,4.6
"Toothbrush Superhero Assorted, Batman/Spiderman",Beauty & Hygiene,Oral Care,Colgate,49.0,3.9
Chips - Topica,Snacks & Branded Foods,Snacks & Namkeen,Sanjay ,65.0,3.9
Organic Dal - Masoor,"Foodgrains, Oil & Masala",Organic Staples,Pro Nature,96.0,3.9
Avida 3-in-1 Semi Economy Pouch -  FG01248,Cleaning & Household,Pooja Needs,Shalimar,31.5,4.6
Bathing Soap - Sandal & Turmeric,Beauty & Hygiene,Bath & Hand Wash,Godrej No.1,254.15,4.2
Hard Anodised Ezee-Pour Saucepan With Lid - L88,"Kitchen, Garden & Pets",Cookware & Non Stick,Hawkins Futura,864.5,4.6
Topp Up Milk - Elaichi,"Bakery, Cakes & Dairy",Dairy,Gowardhan,80.01,5.0
Namkeen - Madras Mixture,Snacks & Branded Foods,Snacks & Namkeen,Townbus,10.0,4.1
"Stainless Steel Storage Lunch Container - Flat, Carry Snack Pack","Kitchen, Garden & Pets",Steel Utensils,Ramson,129.0,1.5
Oceans Deodorant for Men - Long Lasting & Fresh Aquatic Fragrance,Beauty & Hygiene,Fragrances & Deos,Brut,179.4,4.0
Mr. Magic Powder-To-Liquid Germ Protection Handwash Empty Bottle + Refill,Beauty & Hygiene,Bath & Hand Wash,Godrej Protekt,32.55,4.4
Frankincense Oil,Beauty & Hygiene,Skin Care,Organic Harvest,258.75,3.7
"Wonder Diaper Pants - Xtra Large, 12-17 Kg",Baby Care,Diapers & Wipes,Huggies,1266.38,4.0
Fructis Serum - Long & Strong,Beauty & Hygiene,Hair Care,Garnier,230.0,4.8
Citrus Blast Orange Lemon Soap Free Body Wash,Beauty & Hygiene,Bath & Hand Wash,Fuschia,225.0,3.7
Veda Marie Light Biscuits,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,30.0,4.4
"2 Fold Umbrella - Auto-Open & Manual Close, Dark Violet","Kitchen, Garden & Pets",Storage & Accessories,Fendo,289.0,3.6
Henna & Ginseng Anti Hair Loss Shampoo,Beauty & Hygiene,Hair Care,Jovees,137.75,3.6
"Sandwich Toaster - Non-Stick, Gas","Kitchen, Garden & Pets",Cookware & Non Stick,Omega,249.0,3.3
"Baby Cereal - Ragi Almond & Banana, 6-8 Months, No Preservatives, No Artificial Colours",Baby Care,Baby Food & Formula,Slurrp Farm,349.0,4.0
Incense Sticks - Sandal,Cleaning & Household,Pooja Needs,Ambica,60.0,4.6
SPF 15 Sunscreen Lotion,Beauty & Hygiene,Skin Care,Elovera,209.3,5.0
Fenugreek,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,28.5,4.2
Cold Pressed Bhringraj Cooling Oil For Hair Fall & Damage Control,Beauty & Hygiene,Skin Care,Soulflower,182.75,4.0
